item,wpl_uom,wpl
944,LBS_PER_FT,3.77
945,LBS_PER_FT,3.77
946,LBS_PER_FT,4.17
947,LBS_PER_FT,4.17
948,LBS_PER_FT,4.17
949,LBS_PER_FT,4.17
950,LBS_PER_FT,4.17
952,LBS_PER_FT,4.17
953,LBS_PER_FT,4.17
954,LBS_PER_FT,4.17
955,LBS_PER_FT,4.17
956,LBS_PER_FT,4.176
958,LBS_PER_FT,4.17
960,LBS_PER_FT,4.17
961,LBS_PER_FT,4.6
962,LBS_PER_FT,4.6
963,LBS_PER_FT,4.6
965,LBS_PER_FT,4.6
966,LBS_PER_FT,4.6
967,LBS_PER_FT,4.6
968,LBS_PER_FT,4.6
971,LBS_PER_FT,4.6
972,LBS_PER_FT,5.05
973,LBS_PER_FT,5.05
974,LBS_PER_FT,5.05
976,LBS_PER_FT,5.05
977,LBS_PER_FT,5.05
978,LBS_PER_FT,5.05
979,LBS_PER_FT,5.05
980,LBS_PER_FT,5.05
981,LBS_PER_FT,5.05
983,LBS_PER_FT,5.52
984,LBS_PER_FT,5.52
985,LBS_PER_FT,5.52
986,LBS_PER_FT,5.52
987,LBS_PER_FT,5.52
988,LBS_PER_FT,5.52
989,LBS_PER_FT,5.52
990,LBS_PER_FT,5.52
991,LBS_PER_FT,5.52
992,LBS_PER_FT,5.52
994,LBS_PER_FT,5.52
996,LBS_PER_FT,6.01
997,LBS_PER_FT,6.01
998,LBS_PER_FT,6.01
1000,LBS_PER_FT,6.01
1002,LBS_PER_FT,6.01
1003,LBS_PER_FT,6.01
1004,LBS_PER_FT,6.01
1005,LBS_PER_FT,6.01
1006,LBS_PER_FT,6.01
1008,LBS_PER_FT,6.01
1010,LBS_PER_FT,6.01
1012,LBS_PER_FT,6.52
1013,LBS_PER_FT,6.52
1015,LBS_PER_FT,6.52
1016,LBS_PER_FT,6.52
1018,LBS_PER_FT,6.52
1019,LBS_PER_FT,6.52
1020,LBS_PER_FT,7.05
1021,LBS_PER_FT,7.05
1022,LBS_PER_FT,7.05
1023,LBS_PER_FT,7.05
1024,LBS_PER_FT,7.05
1025,LBS_PER_FT,7.05
1026,LBS_PER_FT,7.05
1028,LBS_PER_FT,7.05
1029,LBS_PER_FT,7.05
1030,LBS_PER_FT,7.6
1031,LBS_PER_FT,7.6
1033,LBS_PER_FT,7.6
1034,LBS_PER_FT,7.6
1036,LBS_PER_FT,7.6
1037,LBS_PER_FT,8.18
1038,LBS_PER_FT,8.18
1039,LBS_PER_FT,8.18
1040,LBS_PER_FT,8.18
1041,LBS_PER_FT,8.18
1042,LBS_PER_FT,8.18
1043,LBS_PER_FT,8.18
1044,LBS_PER_FT,8.18
1045,LBS_PER_FT,36.1
1046,LBS_PER_FT,8.18
1048,LBS_PER_FT,8.18
1050,LBS_PER_FT,8.18
